Quantify Compound Summary Report 

Printed Fri May 24 15:29:14 2024

Compound 1:  RS p-Terphenyl

	#	Name	ID	Sample Text	Type	Std. Conc	Pred.RT	RT	Area	IS Area	Response	Primary Flags	pg	%Dev	%Rec
1	1	20240506-04	NIB	Nonane Instrumental Blank	Solvent		23.35								
2	2	20240506-05	SK2024/001	PAHs EN651-01A-GFF	Analyte	25000.000	23.35	23.39	23534.201		23534.201	bb	472.7	-98.1	1.9
3	3	20240506-06	SK2024/002	PAHs EN651-04A-GFF	Analyte	25000.000	23.35	23.39	27999.730		27999.730	bb	559.5	-97.8	2.2
4	4	20240506-07	SK2024/003	PAHs EN651-05A-GFF	Analyte	25000.000	23.35	23.39	28788.287		28788.287	bb	574.8	-97.7	2.3
5	5	20240506-08	SK2024/004	PAHs EN651-24A-GFF	Analyte	25000.000	23.35	23.38	20599.570		20599.570	bb	415.7	-98.3	1.7
6	6	20240506-09	SK2024/005	PAHs EN651-prosA-GFF	Analyte	25000.000	23.35	23.38	15676.015		15676.015	bb	320.1	-98.7	1.3
7	7	20240506-10	SK2024/006	PAHs EN651-06A-GFF	Analyte	25000.000	23.35	23.38	15510.579		15510.579	bb	316.9	-98.7	1.3
8	8	20240506-11	SK2024/007	PAHs EN651-07A-GFF	Analyte	25000.000	23.35	23.38	11274.834		11274.834	bb	234.6	-99.1	0.9
9	9	20240506-12	SK2024/008	PAHs EN651-04A-GFFb	Analyte	25000.000	23.35	23.38	12925.144		12925.144	bb	266.7	-98.9	1.1
10	10	20240506-13	SK2024/009	PAHs EN651-27A-GFF	Analyte	25000.000	23.35	23.39	12486.661		12486.661	bb	258.2	-99.0	1.0
11	11	20240506-14	SK2024/010	PAHs EN651-19A-GFF	Analyte	25000.000	23.35	23.39	24594.740		24594.740	bb	493.3	-98.0	2.0
12	12	20240506-15	SK2024/011	PAHs EN651-11A-GFF	Analyte	25000.000	23.35	23.39	176.791		176.791	MM	19.1	-99.9	0.1
13	13	20240506-16	SK2024/012	PAHs EN651-22A-GFF	Analyte	25000.000	23.35	23.39	15850.080		15850.080	bb	323.5	-98.7	1.3
14	14	20240506-17	SK2024/013	PAHs EN651-08A-GFF	Analyte	25000.000	23.35	23.38	15847.499		15847.499	db	323.4	-98.7	1.3
15	15	20240506-18	SK2024/014	PAHs EN651-14A-GFF	Analyte	25000.000	23.35	23.38	9922.482		9922.482	bb	208.4	-99.2	0.8
16	16	20240507-02	SK2024/015	PAHs EN651-02A-GFF	Analyte	25000.000	23.35	23.39	8421.336		8421.336	bd	179.2	-99.3	0.7
17	17	20240507-03	SK2024/016	PAHs EN651-25A-GFF	Analyte	25000.000	23.35	23.39	11323.042		11323.042	bb	235.6	-99.1	0.9
