Quantify Compound Summary Report 

Printed Mon Jun 17 12:08:04 2024

Compound 1:  RS TriBB (2,4,6-Tribromobiphenyl)

	#	Name	ID	Sample Text	Type	Std. Conc	Pred.RT	RT	Area	IS Area	Response	Primary Flags	pg	%Dev	%Rec
1	1	20240529-04	SK2024/001	PCBs/OCPs EN651-01A-GFF	Analyte	25000.000	17.50	17.29	777.174		1444.186	MM	154.6	-99.4	0.6
2	2	20240529-05	SK2024/002	PCBs/OCPs EN651-04A-GFF	Analyte	25000.000	17.50	17.30	1369.816		2611.010	MM	275.8	-98.9	1.1
3	3	20240529-06	SK2024/003	PCBs/OCPs EN651-05A-GFF	Analyte	25000.000	17.50	17.29	584.354		1098.045	MM	118.6	-99.5	0.5
4	4	20240529-07	SK2024/004	PCBs/OCPs EN651-24A-GFF	Analyte	25000.000	17.50	17.29	703.223		1335.098	MM	143.2	-99.4	0.6
5	5	20240529-08	SK2024/005	PCBs/OCPs EN651-prosA-GFF1	Analyte	25000.000	17.50	17.29	745.781		1427.267	MM	152.8	-99.4	0.6
6	6	20240529-09	SK2024/006	PCBs/OCPs EN651-06A-GFF	Analyte	25000.000	17.50	17.28	976.962		1805.068	MM	192.1	-99.2	0.8
7	7	20240529-10	SK2024/007	PCBs/OCPs EN651-07A-GFF	Analyte	25000.000	17.50	17.29	711.272		1348.088	MM	144.6	-99.4	0.6
8	8	20240529-11	SK2024/008	PCBs/OCPs EN651-15A-GFF	Analyte	25000.000	17.50	17.28	863.263		1593.843	MM	170.1	-99.3	0.7
9	9	20240529-12	SK2024/009	PCBs/OCPs EN651-27A-GFF	Analyte	25000.000	17.50	17.29	962.515		1761.208	MM	187.5	-99.2	0.8
10	10	20240529-13	SK2024/010	PCBs/OCPs EN651-19A-GFF	Analyte	25000.000	17.50	17.30	1243.137		2369.490	MM	250.7	-99.0	1.0
11	11	20240529-14	SK2024/011	PCBs/OCPs EN651-11A-GFF	Analyte	25000.000	17.50								
12	12	20240529-15	SK2024/012	PCBs/OCPs EN651-22A-GFF	Analyte	25000.000	17.50	17.28	1024.743		1984.232	MM	210.7	-99.2	0.8
13	13	20240529-16	SK2024/013	PCBs/OCPs EN651-08A-GFF	Analyte	25000.000	17.50	17.28	1084.534		2065.128	MM	219.1	-99.1	0.9
14	14	20240529-17	SK2024/014	PCBs/OCPs EN651-14A-GFF	Analyte	25000.000	17.50	17.29	305.899		512.430	MM	57.7	-99.8	0.2
15	15	20240529-18	SK2024/015	PCBs/OCPs EN651-02A-GFF	Analyte	25000.000	17.50	17.29	486.615		896.739	MM	97.7	-99.6	0.4
16	16	20240529-19	SK2024/016	PCBs/OCPs EN651-25A-GFF	Analyte	25000.000	17.50	17.28	898.097		1675.575	MM	178.6	-99.3	0.7
17	17	20240529-20	SK2024/017	PCBs/OCPs EN651-20A-GFF	Analyte	25000.000	17.50	17.29	874.487		1595.856	MM	170.3	-99.3	0.7
18	18	20240529-21	SK2024/018	PCBs/OCPs EN651-12A-GFF	Analyte	25000.000	17.50	17.29	662.618		1296.971	MM	139.3	-99.4	0.6
19	19	20240530-01	PCB/OCP CS5	PCBs/OCPs CS5 420pg/uL	Analyte	420.000	17.50	17.28	2082.968		3670.496	MM	385.9	-8.1	91.9
20	20	20240530-02	100%Rec	PCB/OCPs 100% Recovery	Analyte	25000.000	17.50	17.27	501.179		813.974	MM	89.1	-99.6	0.4
